level,year,name,value,adj_factor,adj_value
towns,2010,North Branford,80618,1.126716604244694,90834
towns,2010,North Haven,83588,1.126716604244694,94180
towns,2010,Orange,102255,1.126716604244694,115212
towns,2010,Oxford,107500,1.126716604244694,121122
towns,2010,Prospect,86526,1.126716604244694,97490
towns,2010,Seymour,71719,1.126716604244694,80807
towns,2010,Southbury,68041,1.126716604244694,76663
towns,2010,Wallingford,71317,1.126716604244694,80354
towns,2010,Waterbury,40254,1.126716604244694,45355
towns,2010,West Haven,51854,1.126716604244694,58425
towns,2010,Wolcott,78882,1.126716604244694,88878
towns,2010,Woodbridge,127237,1.126716604244694,143360
towns,2010,Bozrah,75000,1.126716604244694,84504
towns,2010,Colchester,92431,1.126716604244694,104144
towns,2010,East Lyme,79815,1.126716604244694,89929
towns,2010,Franklin,74226,1.126716604244694,83632
towns,2010,Griswold,59295,1.126716604244694,66809
towns,2010,Groton,56904,1.126716604244694,64115
towns,2010,Lebanon,72431,1.126716604244694,81609
towns,2010,Ledyard,85321,1.126716604244694,96133
towns,2010,Lisbon,77872,1.126716604244694,87740
towns,2010,Lyme,88500,1.126716604244694,99714
towns,2010,Montville,65349,1.126716604244694,73630
towns,2010,New London,43551,1.126716604244694,49070
towns,2010,North Stonington,88869,1.126716604244694,100130
towns,2010,Norwich,52186,1.126716604244694,58799
towns,2010,Old Lyme,92024,1.126716604244694,103685
towns,2010,Preston,77377,1.126716604244694,87182
towns,2010,Salem,95000,1.126716604244694,107038
towns,2010,Sprague,68241,1.126716604244694,76888
towns,2010,Stonington,72445,1.126716604244694,81625
towns,2010,Voluntown,73980,1.126716604244694,83354
towns,2010,Waterford,69810,1.126716604244694,78656
towns,2010,Andover,84274,1.126716604244694,94953
towns,2010,Bolton,89432,1.126716604244694,100765
towns,2010,Columbia,85893,1.126716604244694,96777
towns,2010,Coventry,86244,1.126716604244694,97173
towns,2010,Ellington,81582,1.126716604244694,91920
towns,2010,Hebron,108444,1.126716604244694,122186
towns,2010,Mansfield,65839,1.126716604244694,74182
towns,2010,Somers,98977,1.126716604244694,111519
towns,2010,Stafford,64494,1.126716604244694,72666
towns,2010,Tolland,99764,1.126716604244694,112406
towns,2010,Union,79911,1.126716604244694,90037
towns,2010,Vernon,61103,1.126716604244694,68846
towns,2010,Willington,62500,1.126716604244694,70420
towns,2010,Ashford,69407,1.126716604244694,78202
towns,2010,Brooklyn,68851,1.126716604244694,77576
towns,2010,Canterbury,70902,1.126716604244694,79886
towns,2010,Chaplin,62679,1.126716604244694,70621
towns,2010,Eastford,76786,1.126716604244694,86516
towns,2010,Hampton,79943,1.126716604244694,90073
towns,2010,Killingly,53192,1.126716604244694,59932
towns,2010,Plainfield,61500,1.126716604244694,69293
towns,2010,Pomfret,68278,1.126716604244694,76930
towns,2010,Putnam,51180,1.126716604244694,57665
towns,2010,Scotland,75417,1.126716604244694,84974
towns,2010,Sterling,64500,1.126716604244694,72673
towns,2010,Thompson,60951,1.126716604244694,68675
towns,2010,Windham,40063,1.126716604244694,45140
towns,2010,Woodstock,74000,1.126716604244694,83377
state,2017,Connecticut,73781,1,73781
